#Frame      Mode1    Mode2
     246   -9.112   -2.138
     247   -7.030   -2.380
     248   -7.614   -4.109
     249   -6.305   -3.464
     250   -6.637   -3.213
     251   -8.416   -2.584
     252   -8.026   -2.143
     253  -11.262   -1.667
     254   -9.870   -0.995
     255   -8.978   -0.790
     256   -9.853   -1.749
     257  -10.041   -1.877
     258   -7.573   -1.626
     259   -9.253   -2.228
     260   -8.841   -2.718
     261   -8.299   -2.590
     262   -9.626   -4.157
     263   -8.602   -3.395
     264   -7.676   -3.312
     265   -7.804   -4.737
     266   -8.117   -4.826
     267   -8.304   -3.567
     268   -7.926   -2.773
     269   -6.056   -2.870
     270   -5.760   -2.995
     271   -7.162   -3.656
     272   -6.231   -4.242
     273   -5.051   -2.867
     274   -3.889   -3.217
     275   -4.964   -4.527
     276   -5.814   -5.207
     277   -5.312   -4.567
     278   -5.021   -5.841
     279   -6.217   -5.963
     280   -6.242   -7.022
     281   -6.090   -6.797
     282   -6.055   -6.346
     283   -5.961   -5.636
     284   -6.049   -5.729
     285   -7.821   -6.415
     286   -8.758   -5.850
     287   -7.919   -5.567
     288   -5.715   -5.904
     289   -6.112   -3.911
     290   -5.690   -4.603
     291   -8.144   -4.568
     292   -8.723   -4.614
     293   -8.772   -4.320
     294   -9.150   -5.667
     295  -10.772   -5.026
     296   -9.257   -4.923
     297  -10.046   -3.755
     298  -11.049   -4.481
     299   -9.703   -3.888
     300   -9.454   -4.447
     301  -10.712   -5.417
     302  -10.721   -5.968
     303   -8.055   -5.824
     304   -4.508   -6.822
     305   -4.692   -5.750
     306   -7.020   -5.620
     307   -5.864   -5.836
     308   -7.484   -5.315
     309   -5.655   -5.357
     310   -5.741   -4.753
     311   -5.365   -4.817
     312   -8.095   -4.303
     313   -5.510   -4.225
     314   -5.954   -3.041
     315   -7.139   -2.560
     316   -6.462   -3.103
     317   -6.112   -1.895
     318   -8.450   -2.713
     319   -8.773   -3.571
     320   -9.093   -3.782
     321   -6.641   -4.197
     322   -8.581   -3.949
     323   -8.789   -4.511
     324   -8.171   -3.580
     325   -7.604   -3.722
     326   -7.921   -4.002
     327   -7.755   -3.173
     328   -8.796   -2.387
     329   -8.487   -1.954
     330   -9.288   -4.178
     331   -9.930   -2.446
     332   -8.837   -2.846
     333   -9.695   -3.235
     334   -7.974   -1.559
     335   -9.760   -3.975
     336   -8.371   -3.677
     337   -7.508   -5.327
     338   -7.940   -5.016
     339   -9.346   -5.725
     340   -7.148   -6.295
     341   -7.569   -6.748
     342   -5.678   -6.938
     343   -7.470   -6.605
     344   -8.859   -6.135
     345   -9.863   -6.522
     346   -7.424   -5.817
     347   -7.402   -6.287
     348   -5.555   -6.243
     349   -8.193   -7.230
     350   -7.624   -7.123
     351   -8.272   -6.730
     352   -7.855   -5.458
     353   -8.524   -4.916
     354   -5.477   -6.362
     355   -6.431   -6.815
     356   -6.695   -5.894
     357   -7.249   -4.377
     358   -7.344   -3.132
     359   -7.096   -2.781
     360   -5.877   -3.230
     361   -6.222   -3.558
     362   -5.650   -3.920
     363   -5.903   -3.437
     364   -8.529   -3.510
     365   -7.457   -4.227
     366   -6.749   -4.809
     367   -6.200   -5.286
     368   -6.107   -5.686
     369   -6.626   -4.713
     370   -7.069   -2.871
     371   -5.851   -4.573
     372   -3.636   -3.849
     373   -4.345   -2.114
     374   -2.514   -1.889
     375   -3.059   -2.956
     376   -2.450   -2.606
     377   -3.774   -2.225
     378   -2.533   -1.922
     379   -2.728   -3.239
     380   -2.754   -2.737
     381   -3.996   -4.441
     382   -3.840   -5.572
     383   -5.758   -4.544
     384   -3.557   -5.081
     385   -1.104   -4.087
     386   -2.659   -4.355
     387   -4.298   -4.038
     388   -2.604   -4.505
     389   -3.709   -4.100
     390   -2.509   -2.474
     391   -1.671   -2.712
     392   -0.546   -1.489
     393   -1.596   -2.936
     394   -2.353   -2.039
     395   -1.102   -3.343
     396   -2.231   -2.793
     397   -3.437   -3.703
     398   -5.031   -4.467
     399   -5.743   -4.102
     400   -6.627   -4.012
     401   -8.709   -3.497
     402   -8.541   -4.112
     403   -6.517   -2.213
     404   -9.608   -1.070
     405   -9.033   -1.142
     406   -9.646   -2.084
     407  -11.155   -2.989
     408  -12.815   -3.298
     409  -12.724   -3.034
     410  -12.894   -3.416
     411  -13.456   -3.497
     412  -12.005   -2.564
     413  -10.953   -0.864
     414  -11.071   -2.516
     415  -10.227   -2.330
     416  -11.993   -1.793
     417  -10.825   -0.864
     418  -10.051   -0.457
     419  -10.375   -1.640
     420   -9.982    0.529
     421  -10.953   -0.393
     422  -10.699   -0.327
     423   -9.492   -0.508
     424   -9.411   -0.274
     425   -8.038   -0.216
     426  -10.295   -1.236
     427  -10.538   -0.901
     428   -8.619   -2.148
     429   -8.372   -1.610
     430  -11.459   -2.330
     431  -13.400   -1.847
     432   -9.919   -0.491
     433  -10.191   -2.026
     434   -9.256   -1.806
     435  -10.069   -1.621
     436   -9.025   -1.114
     437   -9.112   -1.476
     438   -8.885   -0.117
     439   -7.596   -1.656
     440   -7.012   -1.814
     441   -7.648   -1.659
     442   -6.611   -1.311
     443   -5.976   -1.737
     444   -5.593   -1.704
     445   -5.669   -0.878
     446   -6.297   -1.498
     447   -6.698   -1.562
     448   -8.873   -0.449
     449   -7.661   -1.084
     450   -8.331   -2.343
     451   -8.815   -2.868
     452   -9.436   -1.073
     453   -7.455   -0.808
     454   -6.585   -0.327
     455   -7.594    0.270
     456   -7.078    0.804
     457   -9.065    0.630
     458   -8.839   -0.644
     459   -8.146   -0.665
     460   -7.521   -0.629
     461   -7.671   -3.123
     462   -7.651   -0.971
     463   -5.787   -1.053
     464   -6.670    0.186
     465   -6.100   -0.830
     466   -6.291   -0.818
     467   -7.056   -1.504
     468   -6.537   -0.959
     469   -5.938   -1.744
     470   -4.774   -1.602
     471   -6.694   -2.189
     472   -7.247   -3.297
     473   -7.775   -3.579
     474   -8.530   -2.507
     475   -8.268   -2.679
     476   -6.276   -1.510
     477   -7.747   -0.704
     478   -6.692   -2.102
     479   -7.662   -1.910
     480   -7.039   -2.570
     481   -9.795   -2.946
     482   -8.290   -1.977
     483   -9.185   -1.489
     484  -10.177   -1.364
     485  -11.538   -0.221
     486  -10.598   -0.747
     487   -7.964   -1.643
     488   -7.102   -2.105
     489   -7.087   -0.689
     490   -8.538   -0.692
     491   -6.371   -0.166
     492   -8.312    0.255
     493   -7.645    0.914
     494   -8.934   -0.952
     495   -9.059   -0.319
     496   -9.944    0.041
     497   -8.443    1.949
     498   -7.655    0.367
     499   -7.230   -0.400
     500   -8.162    0.520
     501   -7.315   -0.407
     502   -6.238   -1.525
     503   -6.307   -1.427
     504   -7.352   -1.034
     505   -5.756   -1.461
     506   -6.707   -2.959
     507   -5.962   -3.233
     508   -7.066   -3.200
     509   -6.141   -2.440
     510   -7.710   -3.550
     511   -7.261   -4.449
     512   -6.893   -3.578
     513   -6.102   -3.388
     514   -7.168   -3.661
     515   -5.928   -4.437
     516   -6.972   -2.363
     517   -6.717   -2.640
     518   -6.422   -3.220
     519   -9.046   -4.181
     520   -6.511   -3.691
     521   -5.989   -3.236
     522   -6.366   -3.264
     523   -8.110   -2.846
     524   -6.639   -2.849
     525   -4.587   -4.125
     526   -6.210   -4.116
     527   -6.034   -5.076
     528   -8.096   -6.388
     529   -5.802   -6.492
     530   -4.306   -6.737
     531   -5.145   -7.478
     532   -5.133   -7.841
     533   -5.522   -7.151
     534   -3.889   -7.145
     535   -6.930   -8.124
     536   -7.006   -7.786
     537   -6.513   -7.180
     538   -6.246   -8.462
     539   -5.501   -7.755
     540   -3.922   -6.888
     541   -3.485   -6.904
     542   -4.294   -5.848
     543   -5.779   -6.439
     544   -6.145   -8.069
     545   -7.821   -8.914
     546   -7.697   -8.116
     547   -7.155   -8.442
     548   -8.684   -8.276
     549   -7.340   -6.732
     550   -8.651   -8.772
