    1    78.12758
    2    38.49195
    3    27.04209
    4    18.61417
    5    14.94270
    6    13.09585
    7    10.58595
    8     9.58294
    9     8.61364
   10     8.05432
   11     6.59010
   12     5.82009
   13     5.13420
   14     5.04357
   15     4.54995
   16     4.14748
   17     4.00276
   18     3.42530
   19     3.25100
   20     3.16253
   21     3.01780
   22     2.74958
   23     2.68376
   24     2.41891
   25     2.28803
   26     2.21786
   27     2.13631
   28     2.01000
   29     1.91758
   30     1.85330
   31     1.78776
   32     1.64886
   33     1.63327
   34     1.51026
   35     1.47641
   36     1.45640
   37     1.39461
   38     1.35486
   39     1.33673
   40     1.24573
