#Frame      Mode1    Mode2
     254  -14.767   -0.390
     255  -13.568   -1.919
     256  -12.472   -0.545
     257  -13.489   -0.006
     258  -12.690   -2.536
     259  -12.752   -0.833
     260  -11.179   -0.885
     261  -10.652   -0.994
     262  -11.093    1.067
     263  -11.464    0.255
     264  -11.394   -1.920
     265   -8.681    1.023
     266  -10.573    0.711
     267   -8.320    2.147
     268   -8.969    0.542
     269  -10.465    1.381
     270   -9.930    2.155
     271  -11.309    2.211
     272  -11.285    1.070
     273  -13.377    1.739
     274  -13.023    0.799
     275  -12.786   -0.738
     276  -11.900   -0.717
     277  -13.532   -1.039
     278  -14.045   -2.617
     279  -13.794   -3.828
     280  -13.621   -3.487
     281  -15.275   -2.340
     282  -16.307   -1.648
     283  -14.843   -1.294
     284  -14.018   -2.437
     285  -13.962   -2.194
     286  -11.697   -2.343
     287  -11.396   -2.061
     288  -11.969    0.862
     289  -12.768    0.442
     290  -12.868    2.191
     291  -15.178    2.645
     292  -14.178    3.004
     293  -13.088    2.408
     294  -13.385    1.780
     295  -14.137    0.986
     296  -12.626   -1.153
     297  -14.108   -0.834
     298  -15.007   -0.455
     299  -15.493    0.284
     300  -13.745    2.236
     301  -14.584    3.384
     302  -14.674    1.877
     303  -14.913    2.259
     304  -15.992    1.759
     305  -15.041    2.112
     306  -15.179    2.693
     307  -13.910    2.596
     308  -14.081    2.834
     309  -11.538    2.846
     310  -13.461    3.780
     311  -13.859    2.272
     312  -13.457    2.767
     313  -14.327    2.591
     314  -14.728    2.832
     315  -14.102    1.340
     316  -14.836    0.059
     317  -16.980   -0.377
     318  -15.861   -0.276
     319  -15.902    0.672
     320  -15.758    0.527
     321  -15.491   -1.473
     322  -15.128   -1.421
     323  -14.525   -2.112
     324  -16.152   -1.778
     325  -17.080   -3.373
     326  -17.078   -1.552
     327  -16.290   -1.484
     328  -16.361   -1.286
     329  -13.990   -2.530
     330  -14.658   -3.239
     331  -15.682   -2.734
     332  -15.889   -4.298
     333  -16.679   -3.807
     334  -16.287   -4.196
     335  -15.979   -3.172
     336  -17.698   -2.107
     337  -18.932   -2.272
     338  -15.976   -2.000
     339  -15.321   -1.279
     340  -14.898   -2.136
     341  -15.024   -3.129
     342  -15.526   -2.624
     343  -15.725   -2.090
     344  -15.665   -2.179
     345  -14.561   -4.447
     346  -13.146   -2.844
     347  -12.460   -1.444
     348  -13.831   -2.156
     349  -14.376   -0.386
     350  -14.202   -3.150
     351  -14.978   -2.276
     352  -13.422   -2.248
     353  -13.625   -2.835
     354  -14.207   -2.159
     355  -13.498   -1.544
     356  -14.331   -0.012
     357  -13.383   -2.346
     358  -13.194   -1.236
     359  -13.237    1.681
     360  -14.985   -0.917
     361  -14.167   -1.814
     362  -13.660   -1.888
     363  -12.488   -2.018
     364  -13.137   -2.093
     365  -14.117   -1.660
     366  -12.687   -1.682
     367  -14.724   -3.823
     368  -13.442   -3.879
     369  -12.873   -0.976
     370  -13.720   -0.966
     371  -13.774    0.392
     372  -14.230    0.736
     373  -14.480   -1.762
     374  -14.166   -0.882
     375  -13.309    0.437
     376  -12.532    1.013
     377  -14.521    0.722
     378  -12.866    0.958
     379  -13.550    1.558
     380  -14.476    1.935
     381  -15.038    0.201
     382  -15.791    1.523
     383  -12.776    1.919
     384  -14.416    1.172
     385  -16.786    0.378
     386  -16.883    0.449
     387  -15.848    4.005
     388  -13.286    1.821
     389  -12.472    2.071
     390  -11.678    3.089
     391  -12.540    1.992
     392  -13.261    2.701
     393  -14.183    3.801
     394  -12.687    3.069
     395  -13.099    2.951
     396  -11.119    4.846
     397  -10.971    2.647
     398   -9.556    3.969
     399  -11.676    6.071
     400  -10.041    4.304
     401  -11.101    3.535
     402  -11.127    2.386
     403  -13.782    2.701
     404  -12.298    2.905
     405  -12.963    3.024
     406  -10.443    3.383
     407  -11.188    4.178
     408  -10.923    2.768
     409  -11.434    3.207
     410  -10.555    3.869
     411  -11.104    4.152
     412  -12.036    3.465
     413  -12.350    2.223
     414  -14.388    2.476
     415  -13.539    3.371
     416  -13.885    2.293
     417  -13.789   -0.871
     418  -13.220    0.061
     419  -13.899    2.675
     420  -14.140    4.256
     421  -12.888    3.153
     422  -13.268    1.214
     423  -12.151    2.314
     424  -12.042    1.611
     425  -13.781    0.965
     426  -12.891    1.843
     427  -14.476    0.895
     428  -11.636   -0.161
     429  -10.794    1.529
     430  -12.276    0.610
     431  -13.403    1.749
     432  -12.084    0.596
     433  -11.698    0.915
     434  -11.615    0.302
     435  -11.756   -1.064
     436  -12.267   -1.712
     437  -12.136   -1.735
     438  -11.613    0.830
     439  -11.887   -0.114
     440  -11.744    1.554
     441  -12.339   -0.573
     442  -13.556   -0.580
     443  -15.163   -0.453
     444  -13.337    0.997
     445  -12.798    1.102
     446  -13.885    0.943
     447  -11.947   -0.816
     448  -14.196   -0.408
     449  -13.763   -0.320
     450  -13.824   -1.392
     451  -14.540    0.511
     452  -14.608   -1.358
     453  -13.988   -1.180
     454  -14.172    1.110
     455  -14.695   -1.150
     456  -15.528    0.724
     457  -14.837    0.096
     458  -16.163   -0.220
     459  -17.416    0.528
     460  -16.272    0.792
     461  -14.222   -0.394
     462  -12.828   -0.168
     463  -11.520    2.579
     464  -14.107    1.828
     465  -12.020    1.300
     466  -11.754    1.687
     467  -12.190    1.476
     468  -13.152    0.835
     469  -12.626    0.070
     470  -13.470    0.685
     471  -14.113   -1.444
     472  -12.375   -0.301
     473  -12.359   -2.363
     474  -12.749   -2.082
     475  -11.988   -2.637
     476  -14.079   -1.631
     477  -12.847   -1.486
     478  -14.205   -0.862
     479  -13.739   -1.118
     480  -14.639   -0.745
     481  -11.903   -1.598
     482  -10.061   -1.654
     483  -11.287   -0.441
     484   -9.536   -0.558
     485  -11.166    0.086
     486  -11.155   -0.911
     487   -8.532   -2.522
     488   -9.073   -1.185
     489   -9.269   -0.197
     490  -11.554   -1.888
     491  -10.211   -3.393
     492  -10.891   -0.390
     493  -11.857   -1.905
     494  -10.131    0.143
     495  -12.038    2.530
     496  -12.005    0.568
     497  -10.687   -0.843
     498  -10.505   -0.707
     499  -12.233   -0.482
     500  -12.003   -0.191
     501  -13.279   -0.906
     502  -12.985   -1.948
     503  -13.481   -1.230
     504  -12.014   -0.586
     505  -12.735   -1.930
     506  -13.648   -0.318
     507  -11.764   -0.733
     508  -12.631   -2.744
     509  -12.446   -0.256
     510  -12.305   -1.599
     511  -13.313   -1.155
     512  -13.866   -2.033
     513  -12.427   -0.456
     514  -13.552    0.293
     515  -13.169    1.901
     516  -14.855    0.206
     517  -15.130    0.198
     518  -13.553    1.087
     519  -13.735    1.180
     520  -13.572   -0.181
     521  -13.539   -1.154
     522  -11.951   -0.100
