   32.08110   30.63600
    1    27.35491
    0.02046   -0.14648
    2    15.03619
   -0.04393    0.28120
    3    12.50289
    0.02184   -0.19728
    4    12.19059
    0.19944   -0.27495
    5    10.51046
    0.06796    0.40678
    6     8.38669
   -0.22915   -0.46102
    7     7.47520
    0.20492    0.26163
    8     7.09102
   -0.13529   -0.14602
    9     5.56576
   -0.03310   -0.23435
   10     4.83842
    0.00513    0.00509
   11     4.45577
    0.01226    0.13667
   12     3.88693
    0.00743   -0.05890
   13     3.47195
    0.04468   -0.16996
   14     3.21078
   -0.00964    0.05356
   15     3.14452
   -0.02876   -0.14914
   16     2.90213
   -0.07885    0.12080
   17     2.66078
    0.03506   -0.05248
   18     2.54503
    0.13062    0.06297
   19     2.33970
    0.06533   -0.03536
   20     2.14412
   -0.01925    0.06444
   21     2.11669
   -0.06893    0.08581
   22     2.00046
   -0.03981    0.01257
   23     1.83525
    0.08816   -0.03519
   24     1.79378
    0.23193   -0.09524
   25     1.73949
   -0.07352   -0.01952
   26     1.66082
    0.30644   -0.10798
   27     1.58789
   -0.33480    0.08572
   28     1.53711
   -0.06809   -0.01293
   29     1.46999
   -0.22831    0.06627
   30     1.38274
   -0.02214    0.05679
   31     1.32470
    0.02867   -0.05759
   32     1.28933
   -0.08241   -0.03257
   33     1.24743
    0.01512   -0.06485
   34     1.19916
    0.05408   -0.00571
   35     1.15519
   -0.10423    0.01475
   36     1.11956
    0.05032   -0.08085
   37     1.09070
   -0.12679    0.07744
   38     1.02741
   -0.03543    0.07571
   39     0.99666
   -0.04309   -0.07945
   40     0.97909
   -0.00467    0.00358
