#Frame      Mode1    Mode2
     249   -2.777   -0.777
     250   -2.789   -0.096
     251   -3.278   -1.473
     252   -1.574   -0.308
     253   -3.043    0.620
     254   -3.762    0.272
     255   -1.985   -0.675
     256   -1.916    2.496
     257   -1.405    1.769
     258   -1.530    0.911
     259    0.339   -1.451
     260    0.857   -1.156
     261   -0.845   -1.512
     262   -1.674   -2.273
     263   -3.486   -1.770
     264   -1.569    1.158
     265   -3.058    1.035
     266   -2.261   -1.043
     267   -2.374   -1.100
     268   -3.977    0.271
     269   -5.398    0.198
     270   -3.108    1.150
     271   -3.177    1.683
     272   -2.025    1.151
     273   -2.128    2.004
     274   -1.040    1.974
     275   -4.098    0.448
     276   -3.973    0.090
     277   -4.057   -0.129
     278   -3.872   -0.830
     279   -1.471   -0.289
     280   -3.608    2.280
     281   -3.677   -0.533
     282   -3.250   -0.298
     283   -3.331   -0.515
     284   -1.305    0.829
     285   -2.898    0.727
     286   -5.304    2.688
     287   -5.540    2.112
     288   -4.294    1.642
     289   -3.498    1.218
     290   -4.148    4.174
     291   -2.656    2.779
     292   -3.172    4.206
     293   -3.368    4.996
     294   -3.289    4.411
     295   -2.737    4.175
     296   -2.190    5.075
     297   -3.404    4.899
     298   -3.227    2.690
     299   -2.649   -0.082
     300   -1.873   -0.176
     301   -5.359   -0.125
     302   -3.741    0.845
     303   -2.526    1.729
     304   -1.161    1.420
     305   -2.021    2.162
     306   -2.557    1.895
     307   -3.033    2.021
     308   -2.196    2.916
     309   -3.606    0.182
     310   -3.993    1.548
     311   -3.034    1.829
     312   -3.876    1.865
     313   -1.396    2.880
     314   -1.730    3.661
     315   -0.254    2.558
     316   -2.876    3.851
     317   -1.320    2.788
     318   -0.715    1.817
     319    1.980    1.574
     320   -2.295    1.929
     321   -1.193    0.187
     322   -3.151    0.533
     323   -0.544    0.456
     324   -0.495    2.143
     325   -1.848    0.436
     326   -2.340    2.920
     327   -2.742    3.732
     328   -2.112    4.784
     329   -1.430    4.636
     330   -4.099    3.171
     331   -3.541    5.292
     332   -2.366    5.116
     333   -1.821    3.195
     334   -2.859    3.206
     335   -1.524    4.316
     336   -1.823    2.169
     337    0.035    0.271
     338    1.658    2.985
     339   -0.499    1.228
     340    1.258    1.349
     341    1.772    2.599
     342    1.556    2.735
     343    1.295    3.158
     344    0.135    0.915
     345   -1.288    2.225
     346   -0.903    1.877
     347    0.702    2.425
     348    0.908    3.372
     349    0.436    4.148
     350    0.593    4.672
     351   -0.358    4.946
     352   -0.179    5.888
     353    0.249    6.368
     354    1.676    3.735
     355    2.481    3.490
     356    4.021    3.026
     357    2.228    3.938
     358    2.408    3.151
     359    3.153    4.475
     360    2.114    2.702
     361    4.179    1.980
     362    3.761    2.551
     363    4.004    3.722
     364    5.196    2.942
     365    3.327    3.751
     366    3.787    3.617
     367    5.010    5.513
     368    3.261    4.719
     369    2.835    3.530
     370    1.359    4.422
     371    1.427    3.708
     372   -0.141    3.528
     373   -2.108    3.675
     374   -1.720    3.871
     375   -0.384    5.461
     376   -2.566    4.137
     377   -3.115    4.053
     378   -4.466    1.513
     379   -1.732    2.482
     380   -1.773    1.721
     381   -3.368    3.329
     382   -3.658    0.806
     383   -3.170    2.717
     384   -0.910    3.150
     385   -1.502    3.792
     386   -0.554    2.058
     387   -2.208    3.894
     388   -2.703    2.929
