    1    33.88406
    2    20.03428
    3    11.20420
    4     9.71518
    5     9.13118
    6     8.43625
    7     6.13747
    8     5.95180
    9     5.15430
   10     4.93446
   11     4.60396
   12     4.31800
   13     3.68377
   14     3.22568
   15     3.04486
   16     2.89849
   17     2.69609
   18     2.52159
   19     2.34036
   20     2.24613
   21     2.21248
   22     2.05861
   23     1.96039
   24     1.76674
   25     1.72835
   26     1.70785
   27     1.57210
   28     1.47803
   29     1.41838
   30     1.37435
   31     1.32404
   32     1.24448
   33     1.18805
   34     1.17448
   35     1.15627
   36     1.08562
   37     1.03868
   38     1.02391
   39     0.99519
   40     0.95639
