#Frame      Mode1    Mode2
     263   -4.187   -2.166
     264   -2.739   -0.921
     265   -3.902   -1.223
     266   -4.322   -1.880
     267   -3.073   -1.632
     268   -5.440   -1.010
     269   -5.718   -2.155
     270   -4.473   -4.058
     271   -2.359   -2.518
     272   -3.151   -1.454
     273   -3.804   -1.687
     274   -4.940   -1.336
     275   -4.698   -2.044
     276   -2.298   -2.260
     277   -3.632   -2.401
     278   -5.625   -2.947
     279   -6.325   -4.518
     280   -7.319   -3.325
     281   -8.084   -1.648
     282   -8.112    2.038
     283   -8.140    1.950
     284   -7.283   -0.820
     285   -7.264    0.405
     286   -5.686   -0.859
     287   -5.045    0.942
     288   -5.420   -1.129
     289   -4.489   -0.792
     290   -4.914   -0.675
     291   -5.200   -1.043
     292   -8.161   -3.781
     293   -6.991   -3.083
     294   -6.289   -3.079
     295   -6.826   -2.569
     296   -6.186   -3.026
     297   -5.964   -0.732
     298   -5.970   -2.079
     299   -4.710   -2.415
     300   -7.026   -3.262
     301   -6.759   -3.200
     302   -7.747   -2.182
     303   -7.380   -0.829
     304   -6.520   -0.439
     305   -5.168   -2.643
     306   -4.802   -2.114
     307   -6.020   -2.541
     308   -5.426   -0.740
     309   -5.514    0.194
     310   -5.973    0.546
     311   -7.071   -2.382
     312   -5.565   -0.714
     313   -6.286    0.866
     314   -5.125   -0.411
     315   -6.041    0.698
     316   -3.950    1.113
     317   -4.938   -0.122
     318   -4.439   -0.377
     319   -3.971   -1.203
     320   -5.048   -1.680
     321   -4.163   -3.633
     322   -3.029   -0.755
     323   -3.606    0.454
     324   -3.801    0.646
     325   -5.204    0.221
     326   -5.002    1.588
     327   -4.751   -1.475
     328   -4.657   -0.446
     329   -5.746    0.368
     330   -5.003   -0.490
     331   -4.492   -0.232
     332   -5.011   -2.825
     333   -3.829   -2.954
     334   -4.799   -1.633
     335   -5.680   -3.141
     336   -4.599   -1.213
     337   -5.895   -2.149
     338   -4.226   -1.780
     339   -4.052    0.481
     340   -3.715    2.416
     341   -3.938    3.501
     342   -2.680    0.320
     343   -4.427   -1.005
     344   -4.784   -0.705
     345   -4.972    0.495
     346   -5.043   -1.742
     347   -7.784   -0.831
     348   -6.550   -1.654
     349   -7.493   -2.325
     350   -7.078   -1.093
     351   -6.713    0.644
     352   -5.076    1.463
     353   -6.781   -1.492
     354   -5.775    0.119
     355   -7.402    1.408
     356   -4.494    2.385
     357   -3.468    3.436
     358   -3.039    1.819
     359   -3.825    1.469
     360   -3.741    0.249
     361   -2.610    2.292
     362   -2.656    3.343
     363   -1.522    1.611
     364   -2.098    3.099
     365   -1.650    2.266
     366   -5.975    1.833
     367   -3.439    2.719
     368   -4.517    5.167
     369   -5.249    5.829
     370   -8.500    6.038
     371   -6.920    2.692
     372   -9.417    3.509
     373   -8.888    5.608
     374  -10.584    4.593
     375   -9.430    6.150
     376   -7.005    5.607
     377   -5.908    5.849
     378   -6.368    6.061
     379   -6.086    6.740
     380   -8.666    7.668
     381   -7.040    6.727
     382   -5.818    4.784
     383   -6.052    4.408
     384   -6.862    4.437
     385   -4.411    4.227
     386   -1.985    2.826
     387   -1.536    1.852
     388   -2.558    3.042
     389   -2.654    2.187
     390   -2.752   -0.325
     391   -3.790    1.876
     392   -2.750    3.469
     393   -3.466    1.385
     394   -2.694    1.246
     395   -0.440   -0.337
     396   -0.680    0.661
     397   -0.953    2.290
     398   -1.653   -1.927
     399   -2.996   -1.287
     400   -1.585   -2.382
     401   -1.593   -4.382
     402   -0.506   -4.502
     403   -2.552   -3.811
     404   -2.509   -4.749
     405   -1.962   -2.527
     406   -2.423   -3.349
     407    0.333   -2.421
     408    0.058   -2.511
     409   -1.016   -2.569
     410   -1.589   -4.580
     411   -0.435   -4.126
     412   -1.435   -2.235
     413   -2.548   -3.217
     414   -0.760   -4.005
     415   -1.211   -2.734
     416   -0.749   -3.678
     417   -1.364   -3.587
     418   -0.560   -3.323
     419   -1.145   -2.366
     420   -4.341   -4.060
     421   -2.622   -3.689
     422   -3.936   -1.319
     423   -3.974   -2.135
     424   -1.627   -2.370
     425   -1.404   -3.212
     426   -3.521   -3.400
     427   -1.565   -4.455
     428   -1.718   -5.955
     429   -0.580   -6.233
     430    0.057   -5.934
     431    1.386   -7.044
     432   -1.086   -6.255
     433   -1.117   -5.681
     434   -1.935   -6.589
     435   -1.782   -6.345
     436   -1.319   -6.173
     437   -0.881   -5.304
     438   -2.505   -7.001
     439   -2.422   -6.541
     440   -0.690   -4.405
     441   -2.568   -2.977
     442   -3.148   -3.211
     443   -3.649   -1.661
     444   -5.741   -3.802
     445   -5.696   -1.236
     446   -5.853   -4.461
     447   -5.690   -5.579
     448   -4.726   -3.846
     449   -3.361   -2.412
     450   -6.015   -3.994
     451   -4.292   -4.994
     452   -4.572   -1.870
     453   -4.488   -1.875
     454   -5.640   -3.616
     455   -4.958   -3.664
     456   -3.646   -2.890
     457   -3.830   -3.152
     458   -1.251   -1.230
     459   -2.946    2.228
     460   -5.271    1.071
     461   -5.013    2.865
     462   -5.380    1.420
     463   -4.526   -0.800
     464   -5.669   -0.623
     465   -6.244   -0.121
     466   -6.931   -0.303
     467   -5.805   -0.063
     468   -7.269    0.265
     469   -7.762   -0.829
     470   -5.926    0.305
     471   -6.387    2.215
     472   -5.720    4.524
     473   -6.284    4.138
     474   -6.200    5.855
     475   -6.519    4.721
     476   -8.344    3.337
     477   -8.205    5.807
     478   -9.089    1.391
     479  -11.286    2.211
     480  -11.931    3.509
     481   -9.787    2.710
     482   -9.061    1.460
     483  -11.142    1.384
     484   -9.294    2.782
     485   -9.174    2.666
     486   -8.470    2.407
     487   -9.626    2.412
     488  -10.894    1.639
     489  -11.094    0.504
     490   -9.336    3.010
     491   -6.917    1.757
     492   -8.990    1.104
     493  -10.246    3.252
     494   -8.827    2.543
     495  -10.548    5.545
     496   -8.755    5.331
     497   -9.907    5.702
     498   -8.345    6.287
     499   -8.391    6.998
     500   -9.912    5.752
     501  -11.926    5.501
     502  -10.474    4.423
     503   -9.298    2.325
     504   -9.871    3.159
     505   -9.897    4.853
     506  -11.034    8.187
     507  -11.282    7.992
     508  -12.299    4.746
     509  -11.708    3.764
     510   -9.629    3.506
     511   -7.768    5.206
     512  -10.026    5.086
     513  -10.840    5.206
     514   -9.228    5.700
     515   -9.894    5.325
     516   -8.022    3.781
     517   -9.349    3.457
     518   -8.895    5.685
     519  -10.312    5.105
     520  -11.545    5.053
     521   -9.680    5.930
     522  -11.156    3.054
     523  -12.073    3.254
     524  -11.506    4.631
     525  -10.648    5.089
     526  -10.253    4.403
     527  -12.389    4.647
     528  -11.373    3.913
     529   -9.104    4.211
     530  -11.339    2.111
     531  -10.431    1.421
     532  -10.051    4.396
     533  -11.087    4.667
     534  -11.258    5.060
     535  -11.399    2.365
     536  -12.835    0.259
     537  -14.153   -1.036
     538  -13.758    0.913
     539  -13.329    0.397
     540  -11.878    0.813
     541  -11.491    3.615
     542  -11.261    2.418
     543  -11.244    2.541
     544  -10.656    2.783
     545   -9.530    2.941
     546  -11.058    3.626
     547  -12.191    4.345
     548  -12.721    2.315
     549  -12.724    2.196
     550  -10.830    1.575
     551  -12.029    2.921
     552   -9.575    3.311
     553   -8.385    0.132
     554   -7.944    1.257
     555   -7.844    0.118
     556   -6.543    1.374
     557   -5.610   -0.039
     558   -5.877    2.073
     559   -6.630   -0.647
     560   -6.640    0.854
     561   -5.993    0.626
     562   -6.273   -0.591
     563   -6.052    0.765
     564   -4.509    1.160
     565   -6.161    1.970
     566   -5.741   -0.567
     567   -5.767   -0.649
     568   -6.381   -1.449
     569   -3.825   -3.618
     570   -4.450   -1.529
     571   -3.463   -1.261
     572   -3.930   -1.421
     573   -3.805   -0.250
     574   -2.800   -0.737
     575   -2.968   -2.326
     576   -5.037   -3.556
     577   -4.026   -1.700
     578   -4.454   -3.484
     579   -5.168   -1.646
     580   -5.288   -2.017
     581   -4.040   -5.589
     582   -4.797   -4.664
     583   -6.357   -4.765
     584   -5.088   -2.859
     585   -4.799   -3.478
     586   -4.999   -0.749
     587   -4.605   -0.720
     588   -7.824   -2.849
     589   -5.481   -2.231
     590   -5.939   -2.385
     591   -8.712   -1.097
     592   -7.926   -1.906
     593   -5.252   -1.662
     594   -7.300   -1.227
     595   -7.310   -2.000
     596   -7.660   -0.774
     597   -7.353   -1.214
     598   -8.024   -0.283
     599   -7.135   -1.629
     600   -7.943   -2.515
     601   -7.181   -2.866
     602   -7.057   -1.318
     603   -7.412   -0.039
     604   -6.767    1.046
     605   -6.331    3.563
     606   -5.289    5.615
     607   -7.126    3.255
     608   -7.241    1.756
     609   -7.438    3.061
     610   -9.293    4.924
     611   -8.925    5.145
     612   -8.376    5.595
     613   -7.669    3.135
     614   -4.465    0.151
     615   -5.585   -0.256
     616   -6.086    0.888
     617   -6.818   -1.632
     618   -7.056   -1.640
     619   -5.965   -1.595
     620   -5.499   -1.858
     621   -4.721   -2.266
     622   -6.857   -2.066
     623   -7.382   -0.860
     624   -8.299   -0.089
     625   -6.442    0.336
     626   -5.625    1.375
     627   -4.948    1.839
     628   -6.631   -0.688
     629   -6.966    0.134
     630   -8.645   -2.416
     631   -8.241   -2.797
     632   -9.161   -1.529
     633   -7.460   -3.640
     634   -8.661   -3.522
     635   -7.852   -1.022
     636   -7.304   -1.746
     637   -8.971    0.448
     638   -8.460    2.167
     639   -8.806   -2.049
     640   -9.080   -2.218
     641   -9.527   -1.045
     642   -7.630   -1.404
     643   -6.490   -4.502
     644   -7.792   -1.743
     645   -6.374   -1.667
     646   -4.691   -1.972
     647   -7.127   -0.074
     648   -5.384    0.046
     649   -5.906   -0.996
     650   -5.538   -1.304
     651   -6.851   -0.079
     652   -8.513    0.465
     653   -9.288   -0.185
     654  -10.135    1.288
     655   -9.831   -1.858
     656  -10.468   -1.303
     657   -8.977   -0.160
     658   -9.039   -1.733
     659   -7.811   -2.700
     660   -7.839   -4.033
     661   -9.286   -2.701
     662   -6.763    0.673
     663   -7.708   -1.092
     664   -8.519   -0.574
     665   -8.491   -2.570
     666   -8.224   -2.661
     667   -7.391   -1.880
     668   -6.642    0.046
     669   -5.511   -0.520
     670   -5.360   -1.336
     671   -7.015   -1.521
     672   -5.089   -3.886
     673   -5.368    0.079
     674   -4.646    1.693
     675   -6.631    1.100
     676   -4.879   -1.111
     677   -6.794   -0.060
     678   -4.069   -0.753
     679   -3.931   -1.818
     680   -4.843   -2.026
     681   -3.728   -1.985
     682   -5.074   -2.390
     683   -5.356   -3.631
     684   -6.126   -1.738
     685   -5.575   -2.560
     686   -7.118   -2.911
     687   -7.001   -1.245
     688   -7.111   -1.045
     689   -7.905   -2.936
     690   -6.883   -2.314
     691   -6.719   -2.538
     692   -6.058   -1.217
     693   -5.198   -0.932
     694   -4.442   -0.950
     695   -5.127   -1.057
     696   -5.327   -2.003
     697   -7.139   -1.434
     698   -8.131   -0.511
     699   -5.616   -2.052
     700   -5.266   -3.212
     701   -7.651   -1.516
     702   -7.235   -2.450
     703   -6.425   -7.017
     704   -7.729   -5.529
     705   -8.181   -4.243
     706   -8.720   -5.027
     707  -10.716   -5.665
     708   -8.669   -8.133
     709  -10.702   -6.268
     710   -8.274   -6.587
     711   -8.649   -6.655
     712   -9.444   -5.025
     713   -8.817   -5.796
     714   -8.251   -7.083
     715   -7.804   -8.411
     716   -7.001   -6.965
     717   -8.224   -7.874
     718   -8.997   -7.301
     719   -7.510   -7.933
     720   -6.551   -6.230
     721   -6.467   -4.542
     722   -6.639   -5.756
     723   -5.331   -4.902
     724   -7.032   -6.083
     725   -5.371   -7.995
     726   -5.692   -7.524
     727   -7.028   -6.978
     728   -6.362   -3.079
     729   -6.253   -3.079
     730   -6.804   -2.952
     731   -5.985   -2.283
     732   -7.369   -3.715
     733   -8.404   -2.398
     734   -7.141   -3.791
     735   -8.086   -2.871
     736   -6.970   -2.357
     737   -7.719   -0.475
     738   -5.287    0.578
     739   -3.866    0.898
     740   -4.041   -0.129
     741   -4.242   -1.592
     742   -5.837   -2.144
     743   -6.543   -1.005
     744   -4.966   -0.100
     745   -7.421   -0.350
     746   -9.333   -3.384
     747   -9.733   -5.167
     748   -7.364   -3.495
     749   -6.625   -5.441
     750   -8.057   -7.297
     751   -8.707   -8.150
     752   -7.707   -6.907
     753   -7.567   -9.136
     754   -6.449   -8.342
     755   -7.377   -8.934
     756   -4.897   -9.302
     757   -4.163   -7.848
     758   -4.027   -7.464
     759   -4.791   -7.166
     760   -5.082   -4.749
     761   -4.693   -5.534
     762   -6.199   -4.060
     763   -5.913   -3.819
     764   -5.436   -4.030
     765   -5.524   -4.136
     766   -3.648   -4.893
     767   -3.858   -5.168
     768   -4.753   -4.761
     769   -6.273   -5.889
     770   -7.053   -2.322
     771   -5.431   -2.725
     772   -5.441   -1.886
     773   -6.031   -0.930
     774   -7.855   -1.904
     775   -5.773   -3.664
     776   -4.140   -2.963
     777   -3.838   -1.590
     778   -7.591   -1.498
